Rank,Title,Release Year,Rating,Genres,Plot
47,Casablanca,1942,8.5,"Drama, Romance, War",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
48,Intouchables,2011,8.5,"Comedy, Drama","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
49,Nuovo Cinema Paradiso,1988,8.5,"Drama, Romance",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
50,Modern Times,1936,8.5,"Comedy, Drama, Romance",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
51,Rear Window,1954,8.5,"Mystery, Thriller","A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window and, despite the skepticism of his fashion-model girlfriend, becomes convinced one of them has committed murder."
52,C'era una volta il West,1968,8.5,Western,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
53,Alien,1979,8.5,"Horror, Sci-Fi",The crew of a commercial spacecraft encounters a deadly lifeform after investigating a mysterious transmission of unknown origin.
54,City Lights,1931,8.5,"Comedy, Drama, Romance","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
55,Apocalypse Now,1979,8.4,"Drama, Mystery, War",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
56,Django Unchained,2012,8.5,"Drama, Western","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
57,Memento,2000,8.4,"Mystery, Thriller",A man with short-term memory loss attempts to track down his wife's murderer.
58,12th Fail,2023,9.0,"Biography, Drama",The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.
59,WALL·E,2008,8.4,"Animation, Adventure, Family","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
60,Raiders of the Lost Ark,1981,8.4,"Action, Adventure","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
61,Das Leben der Anderen,2006,8.4,"Drama, Mystery, Thriller","In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives."
